------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      1973dcf

Read runcard inclusive_Z_CT18Z_nplambda_n3lo_sing.ini
Using custom EW parameters.
{'muB': 'central', 'nuB': 'central', 'muS': 'central', 'nuS': 'central', 'muf': 'central', 'muFO_fixed': '0.', 'kappaFO': '1.', 'kappaf': '1.', 'phase_muH': '1.', 'b0_over_bmax': '0.', 'b0_over_bmax_global': '0.', 'mu0_min': '1.', 'muB_min': '1.', 'muS_min': '1.', 'nuS_min': '0.', 'muf_min': '1.40', 'lambda': '0.', 'transition_points': '[0.2, 0.6, 1.0]', 'transition_type': 'slope', 'recoil_scheme': 'collins_soper', 'compensate_fo': 'yes', 'c_nu': '0.1', 'omega_nu': '0.', 'b0_over_bmax_nu': '0.', 'Omega': '0.', 'Delta_Omega': '0.', 'Lambda2': '0.', 'Delta_Lambda2': '0.', 'Lambda4': '0.0625', 'Omega_Down': '0.', 'Lambda2_Down': '0.', 'Omega_DownBar': '0.', 'Lambda2_DownBar': '0.', 'Omega_Up': '0.', 'Lambda2_Up': '0.', 'Omega_UpBar': '0.', 'Lambda2_UpBar': '0.', 'Omega_Strange': '0.', 'Lambda2_Strange': '0.', 'Omega_StrangeBar': '0.', 'Lambda2_StrangeBar': '0.', 'Omega_Charm': '0.', 'Lambda2_Charm': '0.', 'Omega_CharmBar': '0.', 'Lambda2_CharmBar': '0.', 'Omega_Bottom': '0.', 'Lambda2_Bottom': '0.', 'Omega_BottomBar': '0.', 'Lambda2_BottomBar': '0.', 'Omega_Gluon': '0.', 'Lambda2_Gluon': '0.'}
Calculating central values only (no variations config file found).

Started job on Sun May 12 12:46:43 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    128
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 29.000000,  32.600000} in       1s. Obtained xsec =         2.4374993343 +-         0.0001389299.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 32.600000,  40.400000} in       1s. Obtained xsec =         5.0294303893 +-         0.0002650375.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 253.000000,  400.000000} in       1s. Obtained xsec =        -8.8680228756 +-         0.0002370460.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 132.000000,  173.000000} in       1s. Obtained xsec =        -2.4832294538 +-         0.0001263060.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 5.000000,  8.000000} in       1s. Obtained xsec =        17.9840933443 +-         0.0004294893.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 132.000000,  173.000000} in       1s. Obtained xsec =        -2.5125713290 +-         0.0002291114.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 253.000000,  400.000000} in       1s. Obtained xsec =        -9.4205119807 +-         0.0007258774.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 22.000000,  25.500000} in       1s. Obtained xsec =         3.7269283549 +-         0.0002115067.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 11.400000,  14.900000} in       1s. Obtained xsec =         9.6706047985 +-         0.0006841191.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 8.000000,  11.400000} in       1s. Obtained xsec =        14.0790870142 +-         0.0007297977.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 105.000000,  132.000000} in       1s. Obtained xsec =        -1.1634015778 +-         0.0000670950.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 2.500000,  5.000000} in       1s. Obtained xsec =        16.5139182718 +-         0.0003998740.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 25.500000,  29.000000} in       1s. Obtained xsec =         2.2999639033 +-         0.0001270607.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 73.400000,  85.400000} in       1s. Obtained xsec =         0.9307576157 +-         0.0000259447.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 253.000000,  400.000000} in       1s. Obtained xsec =        -9.7690245411 +-         0.0005057037.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 25.500000,  29.000000} in       1s. Obtained xsec =         3.4186443304 +-         0.0002238257.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 40.400000,  44.900000} in       1s. Obtained xsec =         2.0926352149 +-         0.0001101557.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 73.400000,  85.400000} in       1s. Obtained xsec =         0.7532648782 +-         0.0000537832.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 44.900000,  50.200000} in       1s. Obtained xsec =         1.0114881267 +-         0.0000585650.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 14.900000,  18.500000} in       1s. Obtained xsec =         5.2065364900 +-         0.0002850751.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 29.000000,  32.600000} in       1s. Obtained xsec =         3.1610072095 +-         0.0001664075.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 253.000000,  400.000000} in       1s. Obtained xsec =        -7.6987105051 +-         0.0004278005.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 11.400000,  14.900000} in       1s. Obtained xsec =        10.4828139193 +-         0.0005464570.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 40.400000,  44.900000} in       1s. Obtained xsec =         1.1463593668 +-         0.0000655522.
